City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
567,Baturaja,ID,72.12,overcast clouds,-4.1333,104.1667,Ogan Hotel
570,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,La Meule Permaculture Ecovillage
572,Codajas,BR,75.7,overcast clouds,-3.8367,-62.0569,Hotel Dona Marlene
576,Moron,AR,71.01,clear sky,-34.6534,-58.6198,Colucci equipment | Suc. Hummock
583,Muli,MV,82.67,clear sky,2.9167,73.5667,Mulah Surf Camp
584,Kuala Selangor,MY,78.01,few clouds,3.35,101.25,Sun Inns Hotel Pasir Penambang
586,Camocim,BR,77.14,overcast clouds,-2.9022,-40.8411,Hotel Hana Praia Camocim Ceará
591,Vila Velha,BR,79.0,clear sky,-20.3297,-40.2925,Hotel Aliança
593,Manicore,BR,75.22,overcast clouds,-5.8092,-61.3003,Márcio Apartamento Mobiliados
594,Gisborne,NZ,75.0,overcast clouds,-38.6533,178.0042,Senator Motor Inn
596,Broken Hill,AU,84.2,scattered clouds,-31.95,141.4333,Jadan Cottages
597,Mocuba,MZ,70.47,scattered clouds,-16.8392,36.9856,Pensao Cruzeiro
603,Nelson Bay,AU,75.99,overcast clouds,-32.7167,152.15,Marina Resort
608,Beira,MZ,75.96,scattered clouds,-19.8436,34.8389,Hotel Tivoli Beira
610,Vigia Del Fuerte,CO,75.06,clear sky,6.5789,-76.8863,Hotel Yennifer
618,Sola,VU,77.0,moderate rain,-13.8833,167.55,Wilkins Guest House
620,Takoradi,GH,79.5,broken clouds,4.8845,-1.7554,Best Western Plus Atlantic Hotel
624,Gurupa,BR,74.79,overcast clouds,-1.405,-51.64,Hotel São Jorge
634,Ruwi,OM,71.6,clear sky,23.5996,58.5507,Haffa House Hotel
642,Tabatinga,BR,78.8,broken clouds,-4.2525,-69.9381,Hotel Anaconda
644,Morant Bay,JM,78.8,few clouds,17.8815,-76.4093,Golden Shore Resort
648,Hambantota,LK,73.4,clear sky,6.1241,81.1185,Capri Moon Hotel
655,Nauta,PE,74.35,scattered clouds,-4.5061,-73.5757,Hospedaje Rioja
658,Kinablangan,PH,80.47,overcast clouds,7.6947,126.5503,Mainit Balite Hot Spring
659,Bubaque,GW,74.8,broken clouds,11.2833,-15.8333,Apart Hotel New Neguen
660,Hervey Bay,AU,82.4,broken clouds,-25.2986,152.8535,Coconut Palms on The Bay
661,Alberdi,AR,75.99,clear sky,-32.8899,-60.6906,Hotel Mayoral
662,Sibu,MY,77.0,scattered clouds,2.3,111.8167,Premier Hotel
666,Wanning,CN,78.51,scattered clouds,18.8003,110.3967,Wangshui Hotel
675,Nueva Gerona,CU,76.05,scattered clouds,21.8833,-82.8,Villa Ninita
685,Itaituba,BR,75.2,heavy intensity rain,-4.2761,-55.9836,Hotel Avenida
686,Guadalajara,MX,77.0,few clouds,20.6667,-103.3333,Hotel Francés
690,Parati,BR,74.61,moderate rain,-23.2178,-44.7131,Pousada Talisma
